price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
22000,,yes,Intel Core i5-4570,,,,16 ГБ,,,MSI GeForce GTX 1060 3GB,,,ASUS A58M-E,,,https://www.avito.ru/pskov/nastolnye_kompyutery/moschnyy_igrovoy_pk_gtx_1060_i5-4570_16gb_1000gb_7758795050?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBajlPNEpUS0d3bmxIUUVvIjt9tg1vJD8AAAA
44999,,no,AMD Ryzen 5 2600X,,,,16 ГБ,,,,,,GIGABYTE B450M DS3H (rev. 1.0),,,https://www.avito.ru/ekaterinburg/nastolnye_kompyutery/igrovoy_pk_ryzen_5_2600_rtx_2060_7790799125?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBajlPNEpUS0d3bmxIUUVvIjt9tg1vJD8AAAA
29000,,no,Intel Core i7-3770K,,,,16 ГБ,,,ASUS Radeon RX 470 8GB,,,ASUS P9X79 PRO,,,https://www.avito.ru/armavir/nastolnye_kompyutery/igrovoy_pk_monitor_27_2419759285?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
6500,,no,AMD A10-5750M,,,,8 ГБ,,,AMD AMD Radeon RX 580 8GB,,,ASUS A7PRO,,,https://www.avito.ru/tbilisskaya/nastolnye_kompyutery/pk_a10-5750m_radeon_rx_580_8_gb_ram_8_gb_7863662944?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
6999,,no,Intel Core i3-3220,,,,8 ГБ,,,Gainward GeForce GTX 460 v2 1GB,,,MSI B75MA-P45,,,https://www.avito.ru/penza/nastolnye_kompyutery/pk_na_i3-3gen8gbhdd500gtx_7866561761?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
22000,,no,Intel Core i5-7500,,,,16 ГБ,,,ZOTAC GeForce GTX 1050 Ti Low Profile 4GB,,,Ardor Gaming B550M-HDV/AR,,,https://www.avito.ru/chapaevsk/nastolnye_kompyutery/igrovoy_kompyuter_s_monitorom_7885741182?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
15000,,no,Intel Core i5-4460,,,,16 ГБ,,,Sapphire PULSE Radeon RX 570 8GB,,,ASUS H81M-P,,,https://www.avito.ru/habarovsk/nastolnye_kompyutery/pk_i5_4460rx570_8gb16gb_7905806734?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
14500,,no,Intel Core i5-4460,,,,16 ГБ,,,,,,,,,https://www.avito.ru/ekaterinburg/nastolnye_kompyutery/pk_i5-4460_16gb_rx560-4gb_7835661021?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
1000,,no,AMD 5350G,,,,Менее 1 ГБ,,,,,,A-Trend ATC-1000,,,https://www.avito.ru/kurgan/nastolnye_kompyutery/kopmlektuyuschie_dlya_pk_7903135045?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
5990,,no,AMD Athlon II X4 630,,,,8 ГБ,,,MSI GeForce 9600 GT 1GB,,,ASRock A780LM-S,,,https://www.avito.ru/yoshkar-ola/nastolnye_kompyutery/kompyuter_v_sbore_s_monitorom_7897580768?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
