price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
41435,Windows 10 Pro,,Intel Xeon E5-2650V4,6,,,16 ГБ,DDR4,,AMD Radeon RX 580 (8 Гб),8 ГБ,,Intel X99,500,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-xeon-e5-2650v4-ram-16-gb-ssd-256-gb-amd-radeon-rx-580-2078703763/?at=RltyqWzLNuEwGkrMcAMxWGAC8YDlQpIEymEXJFrYDOyA
49699,Windows 11 Pro,,Intel Xeon E5-2650,8,2300,,32 ГБ,DDR3L,,AMD Radeon RX 580 (8 Гб),16 ГБ,512,Intel X79 Express,600,,https://www.ozon.ru/product/roskomp-sistemnyy-blok-igrovoy-kompyuter-pk-intel-xeon-e5-2650-ram-32-gb-ssd-500-gb-amd-radeon-2904850411/?at=NOtwm3GBoc4v7XmZt3DllwT2roGKvf93wYMF3V2RJo
43036,Windows 11 Pro,,Intel Xeon E5-2650,8,2300,,16 ГБ,DDR3,,AMD Radeon RX 580 (8 Гб),8 ГБ,512,Intel X79 Express,500,,https://www.ozon.ru/product/roskomp-sistemnyy-blok-igrovoy-kompyuter-pk-intel-xeon-e5-2650-ram-16-gb-ssd-500-gb-amd-radeon-2917716661/?at=PjtJEXkxQcRwnNL4cPG4rBWFLRypZVUz7EK95u4wm1AN
51808,Windows 11 Pro,,Intel Xeon E5-2680V4,14,3.3,,16 ГБ,DDR4,,NVIDIA GeForce GTX 1080 Ti (11 Гб),12 ГБ,,Intel X99,700,,https://www.ozon.ru/product/sistemnyy-blok-moshchnyy-igrovoy-kompyuter-intel-xeon-e5-2680v4-ram-16-gb-ssd-512-gb-nvidia-3333232203/?at=x6tPov3AZTwqB0BjsYMGRP4sr7oEPFBzW4LySn9vZrk
43487,Windows 11 Pro,,Intel Xeon E5-2650,8,2300,,32 ГБ,DDR3L,,AMD Radeon RX 580 (8 Гб),16 ГБ,512,Intel X79 Express,600,,https://www.ozon.ru/product/roskomp-sistemnyy-blok-igrovoy-kompyuter-pk-intel-xeon-e5-2650-ram-32-gb-ssd-512-gb-amd-radeon-rx-2904848564/?at=16tLNG9Y8TPXoYQzhGnxvwjivYD2pKfnWlx2WuK8lp9x
65159,Windows 10 Pro,,Intel Xeon E5-2650,8,2300,,32 ГБ,DDR3L,,NVIDIA GeForce RTX 4060 (8 Гб),16 ГБ,1024,Intel X79 Express,600,,https://www.ozon.ru/product/roskomp-sistemnyy-blok-igrovoy-kompyuter-pk-intel-xeon-e5-2650-ram-32-gb-ssd-1024-gb-nvidia-2917716337/?at=WPtNmqWB0CBY229ATZ035RmtoYp82QhrK3PJDfk1yKrv
42117,Windows 10 Pro,,Intel Xeon E5-2650V4,12,,,16 ГБ,DDR4,,NVIDIA GeForce GTX 1060 (6 Гб),6 ГБ,,Intel X99,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-xeon-e5-2650v4-ram-16-gb-ssd-512-gb-nvidia-geforce-2754877355/?at=K8tZ5WGnLTozz2PJF0nGRrBf1LBmK2H4J4m94Hk4oZlw
66319,Windows 11 Pro,,Intel Xeon E5-2650,8,2300,,32 ГБ,DDR3L,,NVIDIA GeForce RTX 3050 (8 Гб),16 ГБ,1024,Intel X79 Express,600,,https://www.ozon.ru/product/roskomp-sistemnyy-blok-igrovoy-kompyuter-pk-intel-xeon-e5-2650-ram-32-gb-ssd-1024-gb-nvidia-2904850199/?at=MZtv43AZjTYGW0vGHyGWro3sJE63o9Uq1LnnNiwLPnGz
36663,Windows 10 Pro,,Intel Core i7-7700,8,3.4,,32 ГБ,DDR3,,AMD Radeon RX 580 (8 Гб),8 ГБ,512,Intel X79 Express,500,,https://www.ozon.ru/product/faza-sistemnyy-blok-igrovoy-kompyuter-intel-core-i7-7700-ram-32-gb-ssd-512-gb-amd-radeon-rx-580-8-3332191500/?at=6WtZYmBKXTx11K1XiJKx2Xoh4yvQ42I686Z28Sk4Km68
44071,Windows 11 Pro,,Intel Xeon E5-2680V4,14,3.3,,16 ГБ,DDR4,,AMD Radeon RX 580 (8 Гб),12 ГБ,,Intel X99,700,,https://www.ozon.ru/product/sistemnyy-blok-moshchnyy-igrovoy-kompyuter-intel-xeon-e5-2680v4-ram-16-gb-ssd-1024-gb-amd-radeon-2935007889/?at=6WtZYmBKXTD3mn8oIvMJM8Ou4jqAEKu7R3r3lt5WrEGP
