price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
16402,Windows 10 Pro,,AMD A10-6700,4,3700,,16 ГБ,DDR3,,AMD Radeon R7,SMA,240,AMD,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-kompyuter-lenovo-m79-amd-a10-6700-ram-16-gb-ssd-240-gb-amd-radeon-r7-windows-2235329495/?at=r2t4lZGvxU2VjE6NhwLlVW9cpn0zMwCpKrgWKU0WBVog
7365,Windows 10 Pro,,AMD PRO A8-8650B,4,3.7,,8 ГБ,DDR3,,AMD Radeon R7,,,,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-m79-amd-pro-a8-8650b-ram-8-gb-ssd-128-gb-amd-radeon-r7-windows-10-pro-chernyy-2491562231/?at=oZt63Y0zkiVDWR3vTXGzY36cnloqQvCW4zqMXukm71Ev
19444,Windows 10 Pro,,AMD A8-6500T,4,2.1,,4 ГБ,DDR3,,AMD Radeon,,256,AMD,,,https://www.ozon.ru/product/sistemnyy-blok-sistemnyy-blok-5-amd-a8-6500t-ram-4-gb-ssd-256-gb-amd-radeon-windows-10-pro-chernyy-754804144/?at=16tLNG9Y8TNy25QmtqRZMxvIZZjpJgcYY0k4rCW94DQJ
9199,Windows,,AMD A10-7800,4,3.5,,8 ГБ,DDR3,,AMD Radeon R7,1 ГБ,120,AMD A78,,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-amd-a10-7800-ram-8-gb-ssd-120-gb-amd-radeon-r7-windows-chernyy-798266037/?at=36tWzKEQZc5oDxEpTDK9M14h5G9yKjCOLD5VNCAKroJ5
29380,Windows 10 Pro,,AMD A8-6500T,4,2.1,,8 ГБ,DDR3,,AMD Radeon RX 550 (4 Гб),4 ГБ,256,AMD A78,500,,https://www.ozon.ru/product/sistemnyy-blok-ofisnyy-domashniy-kompyuter-itp-premium-fm-02-amd-a8-6500t-ram-8-gb-ssd-256-gb-1595606037/?at=36tWzKEQZczN0kgQC4vlBGACPA5AKRh6AzBLRh1xzP7
6838,Windows,,AMD PRO A8-8650B,4,3.2,,4 ГБ,DDR3,,AMD Radeon R7,,120,,200,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-kompyuter-thinkcentre-m79-sff-amd-pro-a8-8650b-ram-4-gb-ssd-120-gb-amd-1627263639/?at=PjtJEXkxQck6nVrNiPG02pNtWOnxlqHQqLBBofWPONrx
14345,Windows,,AMD A8 8670E,4,2800,,16 ГБ,DDR4,,AMD Radeon R7,,480,,200,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-kompyuter-thinkcentre-m715s-amd-a8-8670e-ram-16-gb-ssd-480-gb-amd-radeon-r7-1667441746/?at=QktJjPyW7cnD3ZM2fJBmmkXhkxxglwCElA3mQcAjm1xV
9586,Windows,,AMD A6-5200M,,,,4 ГБ,DDR3,,AMD Radeon Graphics,,,,350,,https://www.ozon.ru/product/sistemnyy-blok-amd-a6-5200m-ram-4-gb-ssd-128-gb-amd-radeon-graphics-windows-chernyy-3241948391/?at=ywtA5oRMYTNBYkMlHWZY392sZO5xwNIXQv9jytgMgBwD
6400,Без ОС,,AMD A8 8670E,4,2800,,8 ГБ,DDR4,,AMD Radeon R7,,,,200,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-kompyuter-thinkcentre-m715s-bez-nakopitelya-amd-a8-8670e-ram-8-gb-amd-radeon-1680227181/?at=x6tPov3AZTWqlB8EFK1Or9LSEYzyx5iAmYZ2yiGmlXEq
19587,Windows 10 Pro,,AMD A8-9600,4,3.4,,8 ГБ,DDR4,,AMD Radeon R7,1 ГБ,,AMD,400,,https://www.ozon.ru/product/sistemnyy-blok-amd-a8-9600-ram-8-gb-ssd-240-gb-amd-radeon-r7-windows-10-pro-chernyy-1778421429/?at=6WtZYmBKXTjG583Pf0NZ4knfzwV39wuKjqQngfvKND5W
11521,Windows 10 Pro,,AMD A10-6800K,4,4.1,,4 ГБ,DDR3,,AMD Radeon R5,SMA,120,AMD A78,400,,https://www.ozon.ru/product/red-dot-sistemnyy-blok-office-amd-a10-6800k-ram-4-gb-ssd-120-gb-amd-radeon-r5-windows-10-pro-chernyy-1248884030/?at=lRt6NEvZLimjKn1ACQvpgz7HqBK6y7s6kJj2xcBn453g
34924,Windows 10 Pro,,AMD A8-6500T,4,2100,,8 ГБ,DDR3,,AMD Radeon RX 550 (4 Гб),4 ГБ,512,AMD A78,,,https://www.ozon.ru/product/sistemnyy-blok-ofisnyy-domashniy-kompyuter-fm-01-amd-a8-6500t-ram-8-gb-ssd-512-gb-amd-radeon-rx-550-1668061795/?at=r2t4lZGvxUzY7m9AT1RBpLotMxJmo9sOXRWz8s9KoW9m
11697,Windows,,AMD A8 8670E,4,2800,,16 ГБ,DDR4,,AMD Radeon R7,,240,,200,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-kompyuter-thinkcentre-m715s-amd-a8-8670e-ram-16-gb-ssd-240-gb-amd-radeon-r7-2018050399/?at=VvtzoyRAMizKKNrMFZ815rDHOl9kopHn9wEQGCLyJGk3
27081,Windows 10 Pro,,AMD A12-9800E,4,3.1,,8 ГБ,DDR4,,AMD Radeon R7,,120,AMD A320,,,https://www.ozon.ru/product/sistemnyy-blok-ofisnyy-domashniy-kompyuter-itp-premium-9809-amd-a12-9800e-ram-8-gb-ssd-120-gb-amd-1022633583/?at=z6tOoqA2KcxPLWYMcxR60BDilVA2Rzigp9zRAtJ9PWJj
9014,Windows,,AMD A8 8670E,4,2800,,8 ГБ,DDR4,,AMD Radeon R7,,240,,200,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-kompyuter-thinkcentre-m715s-amd-a8-8670e-ram-8-gb-ssd-240-gb-amd-radeon-r7-1627314046/?at=jYtZQmvqgTNpXMOuNOB9xksmW60MRTN32lgxikwXr2W
