price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
10758,Windows 10 Pro,,Intel Core i3-2100,4,3100,,16 ГБ,DDR3,,Intel HD Graphics 2000,SMA,240,Intel H61 Express,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-intel-core-i3-2100-ram-16-gb-ssd-240-gb-intel-hd-graphics-2000-windows-10-3006864584/?at=jYtZQmLJlCqKKROnT7AwJl7fY88VPzi04OGmwtNKklnr
7742,Windows 10 Pro,,Intel Core i3-2100,4,3100,,8 ГБ,DDR3,,Intel HD Graphics 2000,SMA,120,Intel H61 Express,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-intel-core-i3-2100-ram-8-gb-ssd-120-gb-intel-hd-graphics-2000-windows-10-3006864242/?at=K8tZ5Wgw8CwlKgjjFgrwMEVToL69XAc1QP0VAFyK9Kz6
13170,Windows 10 Pro,,Intel Core i3-2100,2,3100,,16 ГБ,DDR3,,Intel HD Graphics 2000,SMA,512,Intel H61 Express,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-intel-core-i3-2100-ram-16-gb-ssd-512-gb-intel-hd-graphics-2000-windows-10-3006866636/?at=k2tozBV0YclxRK5QUzPO5n6I8qrMx9sNr3MxZSNLv10K
10039,Windows 10 Pro,,Intel Core i3-2100,4,3100,,16 ГБ,DDR3,,Intel HD Graphics 2000,SMA,120,Intel H61 Express,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-intel-core-i3-2100-ram-16-gb-ssd-120-gb-intel-hd-graphics-2000-windows-10-3006865840/?at=MZtv43K8xcYV6zw4tZYNvGOtwOorQps5n8YZQHrG2y4
8786,Windows 10 Pro,,Intel Core i3-2100,4,3100,,8 ГБ,DDR3,,Intel HD Graphics 2000,SMA,240,Intel H61 Express,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-intel-core-i3-2100-ram-8-gb-ssd-240-gb-intel-hd-graphics-2000-windows-10-3006863124/?at=J8tgEwGzpIGzwnZLU02nVOYH3kEEg8TqG1mGVc4pO62D
6464,Windows 10 Pro,,Intel Core i3-2100,2,3100,,8 ГБ,DDR3,,Intel HD Graphics 2000,1 ГБ,,Intel H61 Express,240,,https://www.ozon.ru/product/acer-sistemnyy-blok-acer-veriton-sff-intel-core-i3-2100-ram-8-gb-ssd-240-gb-intel-hd-graphics-2000-1801977448/?at=lRt6NEJKOfVqJKWDco8AgmGf7xVKlAfW7D1PyHWmAGV9
26490,Windows 10 Pro,,Intel Core i3-3240,2,,,8 ГБ,DDR3,,NVIDIA GeForce GTX 1050 (2 Гб),2 ГБ,,Intel H61 Express,350,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i3-3240-ram-8-gb-ssd-128-gb-nvidia-geforce-2747294247/?at=DqtDlA2mjsEg5PK9S9VOwPJuV9VoLpuDj6gDPfN354LR
29906,,,Intel Core i3-6100,2,3.7,,16 ГБ,DDR4,,Intel HD Graphics 530,,480,Intel H110,300,,https://www.ozon.ru/product/robotcomp-sistemnyy-blok-sekretar-lite-mini-intel-core-i3-6100-ram-16-gb-ssd-480-gb-intel-1764805687/?at=GRt254xlWFyO45zRfGqy8nAsrXRBlDT1J7pqRhklNjE8
6376,Windows 10 Pro,,Intel Core i3-2100,2,3100,,8 ГБ,DDR3,,Intel HD Graphics 2000,1 ГБ,,Intel H61 Express,240,,https://www.ozon.ru/product/acer-sistemnyy-blok-acer-veriton-sff-intel-core-i3-2100-ram-8-gb-ssd-120-gb-intel-hd-graphics-2000-1801977549/?at=vQtrz8mgOTE1WYqwFlPYN3gcJA598BcJ3NZQYs8W9B40
10201,Windows 11 Pro,,Intel Core i3-3220,2,3.3,,8 ГБ,DDR3,,Intel HD Graphics,,,Intel H61 Express,400,,https://www.ozon.ru/product/sistemnyy-blok-inroeka-office-ofisnyy-intel-core-i3-3220-ram-8-gb-ssd-256-gb-intel-hd-graphics-3200735044/?at=oZt63YNGlfmvjP9RiZxgmO8cy0XxyKCrAAWMZuK5p1Wz
