price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
35181,Windows 10 Pro,,Intel Core i5-9400,6,,,16 ГБ,DDR4,,NVIDIA GeForce GTX 1050 Ti (4 Гб),4 ГБ,,Intel H110,350,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-intel-core-i5-9400-ram-16-gb-ssd-120-gb-nvidia-geforce-gtx-1050-ti-4-gb-2641191082/?at=pZtp3orLQCXErvMYigAvZJqtx7Mk5KcPDwOX8SPEZrQq
41296,Windows 10 Pro,,Intel Core i5-8400,6,,,16 ГБ,DDR4,,NVIDIA GeForce GTX 1050 (2 Гб),2 ГБ,,Intel H110,350,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-8400-ram-16-gb-ssd-512-gb-nvidia-geforce-1863446566/?at=46tRK5NWYF8X24KZUwO4YyNuEPyL9yTr3RBNZc8gKy50
38048,Windows 10 Pro,,Intel Core i5-4430,4,,,8 ГБ,DDR3,,NVIDIA GeForce GTX 1650 SUPER (4 Гб),4 ГБ,,Intel H81 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-4430-ram-8-gb-ssd-128-gb-nvidia-geforce-gtx-1202786456/?at=PjtJEXYmvcV4Gzw2iLrGBnQfB74lA7HpxOjLkt4qO9yX
40907,Windows 10 Pro,,Intel Core i5-4570,4,,,8 ГБ,DDR3,,NVIDIA GeForce GTX 1660 (6 Гб),6 ГБ,,Intel H81 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-4570-ram-8-gb-ssd-256-gb-nvidia-geforce-2747317231/?at=K8tZ5Wgw8CQXw3l7U919R1YCQgjqwpCzG6VPGikmDDVl
31217,Windows 10 Pro,,Intel Core i5-4570,4,,,16 ГБ,DDR3,,NVIDIA GeForce GTX 1050 Ti (4 Гб),4 ГБ,,Intel H81 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-4570-ram-16-gb-ssd-256-gb-nvidia-geforce-gtx-1282791376/?at=oZt63YNGlfk9N0JImy5EDVh6NBPjXi3Gy3q1s7r1XRk
30858,Windows 10 Pro,,Intel Core i5-3470,4,,,16 ГБ,DDR3,,NVIDIA GeForce GTX 1050 Ti (4 Гб),4 ГБ,,Intel H61 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-3470-ram-16-gb-ssd-128-gb-nvidia-geforce-gtx-1175931186/?at=Brtz5KQmPFgAj4mLUrR6RR2iD4LP6fqGy6LLsXA5vmw
33815,Windows 10 Pro,,Intel Core i5-4570,4,,,16 ГБ,DDR3,,NVIDIA GeForce GTX 1050 Ti (4 Гб),4 ГБ,,Intel H81 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-4570-ram-16-gb-ssd-512-gb-nvidia-geforce-gtx-1282789957/?at=36tWzK1M7ugDYAn4uBKVDwKuxP1r9LHJAlMlWh3LgvNN
40450,Windows 10 Pro,,Intel Core i5-4460,4,3.2,,8 ГБ,DDR3,,AMD Radeon RX 560 (4 Гб),4 ГБ,480,Intel,500,,https://www.ozon.ru/product/robotcomp-sistemnyy-blok-proton-lite-v2-white-intel-core-i5-4460-ram-8-gb-ssd-480-gb-amd-radeon-1784692548/?at=x6tPov60mH2wEJjjsWyWPNgCzkOKWoFMg5mGMfYAy6JJ
36542,Windows 10 Pro,,Intel Core i5-4570,4,,,16 ГБ,DDR3,,AMD Radeon RX 580 (8 Гб),8 ГБ,,Intel H81 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-4570-ram-16-gb-ssd-256-gb-amd-radeon-rx-580-1403461855/?at=28t0z3qGKCpRjQqAhMJP7lAH0KDzgWh9EVgJ8cvZogKw
41166,,,Intel Core i5-3470,2,3,,8 ГБ,DDR3,,AMD Radeon RX 560 (4 Гб),4 ГБ,960,Intel,400,,https://www.ozon.ru/product/robotcomp-sistemnyy-blok-orion-white-intel-core-i5-3470-ram-8-gb-ssd-960-gb-amd-radeon-rx-560-4-567178629/?at=Z8tX9gZRPioAj6qku2M4L8RS45EP5wTBr637YTrAq9XM
40797,Windows 10 Pro,,Intel Core i5-4430,4,,,16 ГБ,DDR3,,NVIDIA GeForce GTX 1650 SUPER (4 Гб),4 ГБ,,Intel H81 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-4430-ram-16-gb-ssd-256-gb-nvidia-geforce-gtx-1202786556/?at=mqtkNlwY1FBYD60YU9q2DRqcxP09J4iQJ7LDJhqYLLVq
32782,Windows 10 Pro,,Intel Core i5-8400,6,4000,,16 ГБ,DDR4,,Intel HD Graphics,2 ГБ,240,Intel H310,450,,https://www.ozon.ru/product/sistemnyy-blok-kompyuter-pk-intel-core-i5-8400-ram-16-gb-ssd-240-gb-intel-hd-graphics-windows-10-3006865556/?at=16tLNGymncYMYyynIjmmjy2f19rNN6SjE2AWEfj5rZ4y
32537,Windows 10 Pro,,Intel Core i5-4590,4,,,8 ГБ,DDR3,,AMD Radeon RX 560 (4 Гб),4 ГБ,,Intel H81 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-intel-core-i5-4590-ram-8-gb-ssd-120-gb-amd-radeon-rx-560-4-gb-windows-10-2641192908/?at=08tYwBOWJc3OrpDKIPq4113UO2YDppT1v35PRsDDj2XB
33744,Windows 10 Pro,,Intel Core i5-4570,4,,,8 ГБ,DDR3,,AMD Radeon RX 580 (8 Гб),8 ГБ,,Intel H81 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-4570-ram-8-gb-ssd-128-gb-amd-radeon-rx-580-1403462437/?at=K8tZ5Wgw8CoD1XQEiK0JkZwHRDVEPQcNkA6lLHNvB5No
17733,Windows,,Intel Core i5-4570,4,3.2,,8 ГБ,DDR3,,Intel HD Graphics,1 ГБ,240,,450,,https://www.ozon.ru/product/treidcomputers-sistemnyy-blok-intel-core-i5-4570-ram-8-gb-ssd-240-gb-intel-hd-graphics-1940505562/?at=57twL9mKgc89JRPZfxGKR9rhvV0YxncWxR9WjULP8gzX
40072,Windows 10 Pro,,Intel Core i5-6500,4,3.2,,16 ГБ,DDR4,,Intel HD Graphics 530,,480,Intel H110,400,,https://www.ozon.ru/product/robotcomp-sistemnyy-blok-sekretar-v2-white-intel-core-i5-6500-ram-16-gb-ssd-480-gb-intel-hd-292241691/?at=J8tgEwGzpIGmqV45co89rJH06DRJMCQg54X7tkMG634
44746,Windows 10 Pro,,Intel Core i5-3470,2,3,,8 ГБ,DDR3,,AMD Radeon RX 560 (4 Гб),4 ГБ,960,Intel,400,,https://www.ozon.ru/product/robotcomp-sistemnyy-blok-orion-v3-white-intel-core-i5-3470-ram-8-gb-ssd-960-gb-amd-radeon-rx-560-567255696/?at=Z8tX9gZRPijAq4yguAppQ8li4XPLpOhAKoOpRI9PzX3V
27019,Windows 10 Pro,,Intel Core i5-4430,4,,,8 ГБ,DDR3,,NVIDIA GeForce GTX 1050 (2 Гб),2 ГБ,,Intel H81 Express,350,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-4430-ram-8-gb-ssd-128-gb-nvidia-geforce-1202786713/?at=MZtv43K8xc2rYByJiwyNWQKt31DPWViklQ8rRcDDX35N
38204,Windows 10 Pro,,Intel Core i5-2500,4,,,8 ГБ,DDR3,,NVIDIA GeForce GTX 1660 SUPER (6 Гб),6 ГБ,,Intel H61 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-2500-ram-8-gb-ssd-256-gb-nvidia-geforce-gtx-1189264417/?at=16tLNGymncpzvwnNHGP2Xq1FVQYKn5tVJoRXZiO9nP6g
28901,Windows 10 Pro,,Intel Core i5-4430,4,,,8 ГБ,DDR3,,NVIDIA GeForce GTX 1050 Ti (4 Гб),4 ГБ,,Intel H81 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-4430-ram-8-gb-ssd-128-gb-nvidia-geforce-gtx-1202787299/?at=nRtrND0LlTKy1LO9iK2qDPltK4O1x4cADAlPESA7qJP
25908,Windows 10 Pro,,Intel Core i5-6400,4,3300,,16 ГБ,DDR4,,Intel HD Graphics 530,SMA,512,Intel H110,240,,https://www.ozon.ru/product/acer-sistemnyy-blok-intel-core-i5-6400-ram-16-gb-ssd-512-gb-intel-hd-graphics-530-windows-10-3006866684/?at=46tRK5NWYF5Qkznmh50DNP6U6EPKEACkAX2OXtjkxpRY
39733,Windows 10 Pro,,Intel Core i5-4570,4,,,16 ГБ,DDR3,,NVIDIA GeForce GTX 1650 (4 Гб),4 ГБ,,Intel H81 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-4570-ram-16-gb-ssd-128-gb-nvidia-geforce-1282789911/?at=57twL9mKgcB8MgLPH9VOpYEFvyqKV4syD6zLgu742ZGG
38269,Windows 10 Pro,,Intel Core i5-3450,4,,,8 ГБ,DDR3,,NVIDIA GeForce GTX 1660 SUPER (6 Гб),6 ГБ,,Intel H61 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-intel-core-i5-3450-ram-8-gb-ssd-128-gb-nvidia-geforce-gtx-1660-super-6-gb-2923686023/?at=jYtZQmLJlCzogOkjU6oq0mGTW2WEpJcNVGR5NS0qjgRg
7392,Windows 10 Pro,,Intel Core i5-2400,4,3400,,8 ГБ,DDR3,,Intel HD Graphics 2000,1 ГБ,,Intel H61 Express,240,,https://www.ozon.ru/product/acer-sistemnyy-blok-acer-veriton-sff-intel-core-i5-2400-ram-8-gb-ssd-120-gb-intel-hd-graphics-2000-1801977536/?at=RltyqW9lnho8vnn9U3Z1r7hRLzZ03c3q69yNsMkR92Q
33793,Windows 10 Pro,,Intel Core i5-6500,4,,,16 ГБ,DDR4,,NVIDIA GeForce GTX 1050 Ti (4 Гб),4 ГБ,,Intel H110,350,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-6500-ram-16-gb-ssd-128-gb-nvidia-geforce-gtx-1403590646/?at=vQtrz8mgOTZngzJAclZW7qXUjk8l0AUO8lBLLT3Kz3LO
27956,Windows 10 Pro,,Intel Core i5-4430,4,,,16 ГБ,DDR3,,NVIDIA GeForce GTX 1050 (2 Гб),2 ГБ,,Intel H81 Express,350,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-4430-ram-16-gb-ssd-128-gb-nvidia-geforce-1202786438/?at=k2tozBV0YclNPkEQCnA19KjTRR9R3kiqln0LPiPmPVEG
23182,Windows,,Intel Core i5-3470,4,3.2,,8 ГБ,DDR3,,NVIDIA GeForce GT 610 (2 Гб),2 ГБ,128,Intel H61 Express,350,,https://www.ozon.ru/product/backspace-sistemnyy-blok-igrovoy-intel-core-i5-3470-ram-8-gb-ssd-128-gb-nvidia-geforce-gt-610-2-gb-1651735447/?at=6WtZYm29VCk0zpOBUQzAoKBUB2z2PrCYDoqZvhYjjL19
39854,Windows 10 Pro,,Intel Core i5-4570,4,,,8 ГБ,DDR3,,NVIDIA GeForce GTX 1650 (4 Гб),4 ГБ,,Intel H81 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-4570-ram-8-gb-ssd-256-gb-nvidia-geforce-1282791485/?at=nRtrND0LlToP3o7Vi4WjgE9C5x9831i93EVL8cD5MjzN
38048,Windows 10 Pro,,Intel Core i5-4430,4,,,8 ГБ,DDR3,,NVIDIA GeForce GTX 1650 (4 Гб),4 ГБ,,Intel H81 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i5-4430-ram-8-gb-ssd-128-gb-nvidia-geforce-1202787222/?at=oZt63YNGlf1X923vcqzx7KWtDlZQQoUrzvQp8TlRwEDN
