price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
29999,,no,Intel Xeon E5-2643V4,,,,16 ГБ,,,GIGABYTE AMD Radeon RX 6500 XT EAGLE 4G,,,Machinist X99 E5 K9,,,https://www.avito.ru/krasnoyarsk/nastolnye_kompyutery/igrovoy_pk_7905716940?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBaTBUZzJsb0lYVnkxbXkwIjt9VIpZoz8AAAA
4000,,no,Intel Celeron 1000A,,,,4 ГБ,,,,,,ASUS P10S-I,,,https://www.avito.ru/syktyvkar/nastolnye_kompyutery/kompyuter_sistemnyy_blok_ofisnyy_4536397785?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBaTBUZzJsb0lYVnkxbXkwIjt9VIpZoz8AAAA
14000,,no,Intel Xeon E5-2630V2,,,,16 ГБ,,,AMD AMD Radeon RX 580 8GB,,,Atermiter X99,,,https://www.avito.ru/krasnodarskiy_kray_yuzhnyy/nastolnye_kompyutery/igrovoy_pk_xeon_e5-2630v2_radeon_rx_580_8_gb_ram_16_gb_7729059059?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBaTBUZzJsb0lYVnkxbXkwIjt9VIpZoz8AAAA
15550,,no,Intel Core i5-6400,,,,16 ГБ,,,GIGABYTE GeForce GTX 1050 Ti 4GB,,,ASUS H110M-K,,,https://www.avito.ru/ufa/nastolnye_kompyutery/sistemnyy_blok_7846690604?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBaTBUZzJsb0lYVnkxbXkwIjt9VIpZoz8AAAA
65000,,no,Intel Core i5-12400,,,,16 ГБ,,,GIGABYTE NVIDIA GeForce RTX 3060 12GB,,,MSI PRO H610M-E DDR4,,,https://www.avito.ru/gorno-altaysk/nastolnye_kompyutery/igrovoy_sistemnyy_blok_i5_12400rtx3060_7395116397?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBaTBUZzJsb0lYVnkxbXkwIjt9VIpZoz8AAAA
4499,,yes,Intel Core i5-3330,,,,8 ГБ,,,,,,GIGABYTE GA-H61M-DS2 (rev. 1.0),,,https://www.avito.ru/salsk/nastolnye_kompyutery/sistemnyy_blok_7508929163?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBaTBUZzJsb0lYVnkxbXkwIjt9VIpZoz8AAAA
80000,,yes,Intel Core i5-12400F,,,,32 ГБ,,,NVIDIA GeForce RTX 4060 Ti 8GB Founders Edition,,,ASRock B660m PG Riptide,,,https://www.avito.ru/vatutinki/nastolnye_kompyutery/moschnyy_rozovyy_igrovoy_pk_7728602440?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBaTBUZzJsb0lYVnkxbXkwIjt9VIpZoz8AAAA
15000,,no,Intel Core i5-650,,,,4 ГБ,,,NVIDIA GeForce GT 320 2GB,,,Acer RS880M05,,,https://www.avito.ru/novorossiysk/nastolnye_kompyutery/sistemnyy_blok_7904280459?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBaTBUZzJsb0lYVnkxbXkwIjt9VIpZoz8AAAA
45000,,no,Intel Core i3-12100F,,,,16 ГБ,,,Palit GeForce RTX 3060 StormX 12G,,,GIGABYTE H610M K DDR4,,,https://www.avito.ru/bachatskiy/nastolnye_kompyutery/igrovoy_pk_i3_12100f_rtx_3060_12gb_nvme_512gb_7837447135?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBaTBUZzJsb0lYVnkxbXkwIjt9VIpZoz8AAAA
25000,,no,Intel Core i5-3470,,,,16 ГБ,,,NVIDIA GeForce GTX 1660 6GB,,,ASUS 970 PRO GAMING/AURA,,,https://www.avito.ru/komsomolsk-na-amure/nastolnye_kompyutery/igrovoy_kompyuter_7904395788?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBaTBUZzJsb0lYVnkxbXkwIjt9VIpZoz8AAAA
